ID,Title,Description
94,Systems Safety,The Safety and Mission Assurance Directorate has an internship opportunity for an undergraduate student with an interest in Systems Safety Engineering. The ideal candidate should be one who is self-motivated and has a desire to learn about the process for system safety and health and the methodology used to prepare and maintain safety and health analyses and risk assessments at John C. Stennis Spa...
95,Data Analysis,"The Safety and Mission Assurance Directorate has an internship opportunity for an undergraduate student with an interest in data analysis as it relates to audits, facility safety, electrical safety, construction safety, close calls, and mishaps. The ideal candidate should be one who is self-motivated and has a desire to learn about computer-based systems used to track and record information about ..."
96,Facility System Safety,"The student will support the NASA Facility Safety Program Manager. The student will also interact with other Safety and Mission Assurance (SMA) personnel, SMA support contractors, and other Center personnel. The student will participate in facility safety inspections and provide support in the identification and documentation of out of compliance equipment and conditions. The student will be ex..."
97,Center Operations Mission Specialist,"The internship will be in support of the Center Operations Directorate (COD) at John C. Stennis Space Center. Hard-working, responsible, and self-motivated students are sought-after to support NASA personnel in COD, which includes engineers of all disciplines, architects, logistics specialists, mathematicians, master planners, and unmanned aircraft system operators. The Center Operations Directo..."
98,Pneumatic Shock System – Methods and Development,"Assist the development and documentation of the capability and setups needed to meet the various lunar/mars mission shock levels quickly, efficiently and safely with the Pneumatic Shock Simulator (PSS). Also, to conduct additional near field shock testing for application in instances the levels are past the PSS’s capabilities. [NOTE: If you are selected for participation in an internship, you w..."
99,NASA Jet Propulsion Laboratory Internship Opportunities- Summer 2025,An internship at NASA’s Jet Propulsion Laboratory is a chance to do the impossible. Our internships put you right in the action with the scientists and engineers who’ve helped make JPL the leading center for robotic exploration of the solar system. JPL provides opportunities across the STEM spectrum for undergraduate and graduate students. Apply to be considered for an internship opportunity. Sele...
100,Industrial Hygiene Intern,"The Industrial Hygiene intern will perform meaningful work in support of NASA Glenn Research Center (GRC). The selected individual will take an active role supporting Glenn Research Center's implementation of the Toxic Substances and Control Act (TSCA) requirements, hazard analysis, biological hazards program, thermal stress program, and other health and safety programs as opportunities arise. Act..."
101,TRISH Space Health Communications Internship,"The student placed in this position will assist the Translational Research Institute for Space Health (TRISH) in creating STEM and communication content in support of the Institute’s outreach goals. TRISH is a lean, virtual institute empowered by the NASA Human Research Program to solve the challenges of human deep space exploration. TRISH relentlessly pursues and funds novel research to delive..."
102,TRISH Commercial Space Health Research Program Internship,"The student placed in this position will assist the Translational Research Institute for Space Health (TRISH) in supporting TRISH’s commercial spaceflight biomedical/biosample collection program. TRISH is a lean, virtual institute empowered by the NASA Human Research Program to solve the challenges of human deep space exploration. TRISH relentlessly pursues and funds novel research to deliver h..."
103,Raman Spectroscopy Plume Measurements,"The student will assist engineers in performing Raman Spectroscopy Measurements on a small thruster plume, or simulator, in support of catalyst development activities for the green propellant ASCENT. The student will work in a collaborative laboratory environment and will be expected to a have or develop a basic proficiency with hardware and tool usage. The student must be comfortable with a labor..."
104,Hybrid Electric Aircraft Propulsion Technology Development,"NASA Glenn Research Center is conducting research in the area of electrified aircraft propulsion systems, which combine turbofan engines and electrical machines to generate propulsive thrust. This research includes the development of system models to ensure the safe, reliable, and efficient operation of these innovative propulsion designs. Through this opportunity, the intern will work with NASA p..."
105,Flight Interactive System Techniques and Sustainment,"This position is available as full or part time. Students may attend classes part-time during a full-time session. If considered for the position you will be required to submit updated transcripts, work availability, and up-to-date class schedule if taking courses. Hours worked will be Monday-Friday between 7am-4:30pm, with every other Friday off. On-site work at AFRC is expected at least 3 days ..."
106,Lunar Simulant Surface Preparation,Student will work in the Swamp Works lab on mechanical systems for lunar surface preparation for the Redwire Tipping Point Project. Student will aid in the design and testing of regolith manipulation tools such as grader blades and compactor plates for lunar site preparation activities. Student will also aid in the development of the mechatronic interfaces between these tools and the testing pl...
107,Design and Analysis of Fixed-Wing Electric Aircraft,"The Aeronautics Systems Analysis Branch (ASAB) is developing an environment for rapidly exploring aircraft concepts. The immediate focus is on sustainable aviation aircraft via Regional Air Mobility (RAM). The environment will be used to evaluate the proper requirements for which these aircraft should be considered. The internship will focus on one facet of the vehicle, which depends on the ski..."
108,Propulsion Data Assessment Intern,"The Propulsion Data Assessment Intern will become familiar with an in-house data assessment utility, WinPlot, and assist with the development of its capabilities for usage by astronauts on long-duration crewed missions."
109,Graphic Design and Web Development Intern,"The intern will work directly with the CSBF IT team to develop a website that will attract and appeal to users and provide the desired information. This includes the site concept, graphics, color schemes, interface design and architecture of website. Experience in graphics, layout, and scripting is desired."
110,"NASA Film, Music, and Science Convergence Internship","Are you a creative intern with versatile skills and a passion for multimedia storytelling? Join our team and help us develop an extraordinary project that pairs NASA’s awe-inspiring imagery with iconic space-themed music. We aim to create captivating films for orchestras and symphonies, featuring pieces like Holst’s The Planets, Debussy’s La Mer and Clair de Lune, and Vivaldi’s The Four Seasons. O..."
111,Propulsion Department Intern,"The Propulsion Systems Department is seeking interns to support chemical and nuclear propulsion projects for NASA’s launch vehicle and in-space propulsion needs. If you're passionate about engineering and eager to learn, we’d love to hear from you! Our Department provides chemical and nuclear propulsion solutions for a wide range of NASA projects, from large booster engines to small cubesat th..."
112,Test Facility Data and Systems Engineer,"This internship position is in support of the Data and Systems branch at the Glenn Research Center. The Data and Systems branch designs, develops, and maintains data acquisition systems and instrumentation in support of aeronautics and space testing activities that enable new technology research and development for the agency. The selectee for this position will be assigned tasks supporting data a..."
113,Structural Strength Test Engineer,"MSFC's Structural Strength Test Branch has unique capabilities and experience to apply static loads in compression, tension, and torsion on the order of millions of pounds on various sized structural test articles. Multiple systems are used during structural testing, including the hydraulic load control system, measurement acquisition system, image correlation system, and instrumentation (includin..."
114,Testing Division Mechanical/Aero Engineering Internship,"The selected intern will support Test Facility Engineering assignments for the Testing Division (FT) at NASA Glenn Research Center (GRC) which is located in Cleveland, Ohio. The testing division manages and operates all the major Aeronautics and Space Test Facilities at NASA GRC, comprised of about 400 Government/Contractor Engineering and Technician Staff. We support testing in any of our facilit..."
115,Testing Division Electrical Engineering Internship,"The selected intern will support Test Facility Engineering assignments for the Testing Division (FT) at NASA Glenn Research Center (GRC) which is located in Cleveland, Ohio. The testing division manages and operates all the major Aeronautics and Space Test Facilities at NASA GRC, comprised of about 400 Government/Contractor Engineering and Technician Staff. We support testing in any of our facilit..."
116,In-Space Liquid Propulsion Analysis and Testing,NASA-MSFC In-Space Liquid Propulsion Analysis team is seeking an intern to support a test and analysis activity. This internship will support the Spacecraft Priming Analysis and Research Test Apparatus: Number 2 (SPARTAN 2) analysis team. Spacecraft liquid propulsion systems undergo a priming surge event with a significant waterhammer peak pressure prior to becoming operational that must be ch...
117,Center Operations Innovation,"Center Operations is looking for an intern to support Innovation with Website Building, Collaborative Spaces, and Data Analysis. Key opportunities will include: • Improving and advancing the Center Operations Website. The intern will learn (or advance current knowledge) in the Content Management System ‘WordPress’. • Supporting and inspiring the collaborative workspaces at Johnson Space Center. ..."
118,Air quality prediction using TEMPO data,"The Atmospheric Science Data Center is at the forefront of utilizing cutting-edge missions to address environmental and climate challenges. Our team is passionate about making a positive impact on the world, and we are seeking talented individuals to join us in our mission to predict air quality pollutants through the application of neural networks and machine learning. The data science intern ..."
119,Plasma-Based Architecture for Space Sustainability,"Plasma comes in many forms and is able to be high temperature to gasify waste or perform mitigation technology or low temperature to aid in chemical synthesis, space crop production, and wound healing. This opportunity will allow for hands-on learning of plasma systems in an applied chemistry lab where a diverse skillset is appropriate. The Applied Chemistry lab employs mechanical, aerospace, elec..."
120,Polymer Electrolytes for All-Solid-State High Performance Batteries,"The student is expected to carry out experimental research of polymer electrolyte materials for advanced solid-state batteries. Such batteries will have high energy density, high power density, and with enhanced rechargeability and safety. The student will follow the guidance of the lead mentor to conduct work experimentally and attend project meeting with a group of scientists who are knowledgeab..."
121,Spaceport Command and Control Software Development,"This internship is hybrid requiring the intern to be on-center Tues-Thurs and telework on Monday/Fridays. This internship cannot be done totally remote and will require temporary relocation if not living locally. The position consists of developing software for a launch control system. The tasks may include but are not limited to writing software, debugging, troubleshooting, participating in and/..."
122,Multifunctional Structural Materials for Extreme Space Environments,"Future NASA missions for space exploration, such as the Artemis Program, require key technological elements that must provide sustainability, survivability and an operational envelope in extreme environments, such as high and low extremes in pressures and temperatures, ionizing radiations, microgravity, chemical and/or physical corrosion, and hypervelocity particles. Advanced multifunctional mater..."
123,High Voltage Materials Engineering Internship,"The High Voltage Materials Engineering Intern will research, experiment, and analyze ceramic and ceramic/polymer composites to advance NASA's goals in electrification of aircraft. The intern will perform synthesis reactions in a laboratory setting, composite preparation using lab-scale mixing, compounding, and forming techniques, and characterization by methods such as x-ray diffraction, Fourier-..."
124,Human Landing System (HLS)-GNC Guidance Development and Testing,"Human Landing System (HLS) Guidance Navigation and Control (GN&C) Algorithms Development and Testing using Multi-Rotors: Student will assist in the design, integration and testing of novel lunar landing and hazard avoidance guidance and control algorithms in support of the Human Landing System (HLS) Project, Space Vehicle Systems office, a key player of the Artemis campaign, which seeks to develo..."
125,Development of the Solar Global Activity Data Portal,"The critical importance of understanding how the Sun operates on global scales derives from the need to forecast the impacts of solar activity on Earth’s environment and space weather. The intern will work on developing the Solar Global Activity Data Portal, which will serve as a web-based environment to organize existing observations and provide fast access to modelers to analyze and predict sola..."
126,SUITS Intern,"The Spacesuit User Interface Technologies for Students (S.U.I.T.S.) project collaborates with universities to develop spacesuit user interface designs in augmented reality environments. As NASA advances the Artemis mission, it is crucial that crewmembers have the necessary human-autonomy-enabling technologies for lunar surface exploration and extreme terrestrial access. SUITS focuses on key aspect..."
127,Aerospace Analysis Software Engineering Intern,"This project is a full-time on-site internship working on the development and maintenance of the Fortran-based ROCet Engine Transient Simulation Software (ROCETS). Preferred candidates have demonstrated software engineering proficiency on large codebases, including CI/CD and SCM. Fortran experience preferred but fluency in other imperative programming languages acceptable. Applicants will be expec..."
128,Data Analysis and Modeling to Improve Risk Assessment of sUAS,"The System-Wide Safety (SWS) Project at NASA has been developing future In-Time Aviation Safety Management Systems (IASMS). With the increasing use of small Uncrewed Aircraft Systems (sUAS), technology and practices must evolve to maintain safety in a rapidly changing environment. The Ground Risk Assessment Service Provider (GRASP) software aims to quantify the unique risks that sUAS pose to non-p..."
129,Airfield Project Support-Onsite,"Support various WFF Airfield project functions to include but not limited to scheduling, airfield permits, aircraft fueling support, airfield management, air traffic control tower support, foreign object debris removal, project space setups and various other project specific needs that require airfield support."
130,Range and Mission Management Office (RMMO) Business Support Intern,The business support intern will work at the NASA Wallops Flight Facility in the Range and Mission Management Office (RMMO). The intern will have the opportunity to work with the program specialist in support of NASA project managers on a variety of launch operations and engineering development projects that span the project life cycle. Typical tasks would include but not be limited to: developing...
131,Wallops Meteorological Systems Enhancement Project,"Assist the Project Manager in conducting feasibility studies regarding developing a meteorological mesoscale network and Incoherent Scatter Radar (ISR). Interns will get involved in preparing briefing material, developing Project Plan, assessing project risk, estimating cost, and building project schedule. The interns will get a chance to practice project management and project formulation. The in..."
132,Recycling and Reuse of Space Waste Internship,"This position is for an internship opportunity to work on recycling and reuse of space waste streams--think food packaging, foams, clothing, and metals in the summer of 2025 at NASA Marshall Space Flight Center Duties include: - Research materials in the current and anticipated waste streams - Laboratory preparation and testing of specimens (metals and polymers) - Additive manufacturing and..."
133,Investigation of Rotating Detonation Rocket Engine Injection and Thrust Dynamics,"Students will aid in the investigation of rotating detonation rocket engine hot fire testing to identify performance impacts on primary test articles. A calorimeter chamber and optimized chamber geometry will be tested with students expected to reduce data, documents test imagery, and make correlations with data and imagery. Primary subjects of interest will be injection dynamics for engine perfor..."
134,New Business for Wallops,"The intern will assist in bringing new business to Wallops Flight Facility (WFF). The business is either funded from other agencies or commercial entities or is NASA mission related. The projects involve use of the WFF Research Range, Aircraft, Balloons, Sounding Rockets, or development of small satellites and CubeSats. The intern will assist in capturing the business, pre-formulation, formula..."
135,Onsite - Laser Spark Analysis,"Students will complete research regarding the application of laser induced sparks to determine ambient conditions in a test apparatus. Responsibilities will include setting up and running physical experiments, processing data, designing new apparatus, and writing programs to analyze data, among others. Interns will be working with one mentor who is on site and another who works remotely. The in..."
136,Gateway Digital Architecture (GDA) and Model-Based Systems Engineering (MBSE),"The Intern will be part of a multidisciplinary team in support of the Gateway Program, humanity's first cislunar orbiting platform to enable sustained lunar surface missions and deep space exploration. The Gateway Digital Architecture (GDA) is a framework of Model-Based Systems Engineering (MBSE) capabilities intended to overcome the limitations of traditional paper document-based systems engineer..."
137,Mission Planning Lab Engineer,"Project Description: The Mission Planning Lab (MPL) facilitates multi-disciplinary, concurrent, collaborative, space systems engineering design and analysis activities to enable rapid development of end-to-end mission design concepts. MPL studies are executed over one week with a Report Out on the last day culminating the design team’s effort. Multiple discipline engineers with varying expertise ..."
138,Command and Control System Monitor Software Engineer,"This internship is hybrid requiring the intern to be on-center Tues-Thurs and telework on Monday/Fridays. There is no fully remote option available for this internship. This internship consists of developing software for a launch control system. The tasks may include but are not limited to writing software, debugging, troubleshooting, participating in and/or facilitating code inspections, writi..."
139,"System for Photogrammetric Imaging, Detection, and Ranging (SPIDR)","When any rocket launch occurs, it is imperative to capture real-time imagery. This imagery is used for a variety of purposes for tasks as simple as visual documentation or inspection, to something as serious as imagery analysis or accident investigation. The System for Photogrammetric Imaging, Detection and Ranging (SPIDR) seeks to improve the state of the art for capturing launch imagery. SPIDR i..."
140,Fast Iterative Thrust Chamber Assembly Tool (FITCAT),"The primary objective of this work is to develop a tool for rapid, high-fidelity, first-order design cycles for liquid rocket engine thrust chamber assemblies. This project requires dissecting and building upon an existing backend (comprised of Python and C) and frontend (ReactJS); advancement of algorithms for preliminary design iteration; and integration with heritage Visual Basic, Python, and F..."
141,Balloon Program Support,"This project encompasses various activities in support of the Balloon Program Office at the Wallops Flight Facility. The position is available as full or part-time, and we desire a person who is available for multiple sessions (these can be consecutive or staggered). CLEARLY INDICATE IN THE APPLICATION IF YOU ARE ABLE TO SUPPORT MULTIPLE SESSIONS. The position will be tailored based on the ..."
142,Code Migration to C++ and MATLAB Optimization: GRC Communication Analysis Suite,"This virtual opportunity for multiple interns will be to continue to migrate the GRC Communication Analysis Suite (GCAS) analysis code from MATLAB to C++, and to support MATLAB optimization/refactoring. Both analysis code migration to C++ and MATLAB optimization have the threshold of maintaining analysis capability accuracy with the goal of improving runtime. Interns would be working on one of the..."
143,Human Landing Systems (HLS) Internship,"The Human Landing Systems (HLS) Program is a key player of the Artemis campaign, which seeks to develop a long sustaining human presence on the surface of the Moon. The Space Vehicle Systems (SVS) office within the Human Landing Systems program is responsible for certifying the Human Landing Systems through technical insight in the areas of avionics, thermal control, structures and mechanisms, sof..."
144,NDAS Software Development Team,"This internship consists of developing software for data acquisition systems supporting propulsion testing activities at several NASA Centers including NASA Stennis Space Center, White Sands Test Facility, and Marshal Space Flight Center. The tasks may include but are not limited to writing software, debugging, troubleshooting, participating in and/or facilitating code inspections, writing and/or ..."
145,Onsite/Virtual - Planetary Sampling Automation Development,"**Virtual-compatible** Subsurface exploration of the Moon and Mars by future missions will require that a drill be able to operate autonomously, both in terms of routine operations and diagnosing and recovery from problems. The Atacama Rover Astrobiology Drill Studies (ARADS) project developed a 1m - depth, 20kg low-power drill that was tested in Chile in September 2019 from a mid-sized rover. Dia..."
146,"Propeller, rotor, and airfoil self-noise experimental design",This internship opportunity will focus on the design and aerodynamic performance and acoustic testing of propeller/rotor platforms. Design of instrumented airfoil test articles will also be performed to perform on-surface unsteady pressure measurements correlated with far-field noise generation. Microphone phased array development and signal processing will also be conducted.
147,Computer Vision Intern,"A computer vision intern is sought to develop detect and track algorithms for airborne collision avoidance in support of ongoing On Demand Mobility research. Current and future datasets include video recorded from multirotor UAV of GA and fixed-wing UAV. The intern may assist in collecting data during flight test, organizing and labeling data, and developing algorithms for intruder aircraft detect..."
148,Human Factors Engineering Internship,"The Marshall Space Flight Center (MSFC) Human Systems Integration & Engineering Team supports the development of space flight and ground processing hardware at MSFC. The team is responsible for determining and levying appropriate Human Systems Integration requirements on hardware fabricated and/or used on MSFC managed programs and projects. Additionally, the team is responsible for verifying that ..."
149,Human Factors Engineering Mechanical Design Internship,"The Marshall Space Flight Center (MSFC) Human Systems Integration & Engineering Team supports the development of space flight and ground processing hardware at MSFC. The team is responsible for determining and levying appropriate Human Systems Integration requirements on hardware fabricated and/or used on MSFC managed programs and projects. Additionally, the team is responsible for verifying that ..."
150,Human Factors Engineering Virtual Environments Lab Internship,"The Marshall Space Flight Center (MSFC) Human Systems Integration & Engineering Team supports the development of space flight and ground processing hardware at MSFC. The team is responsible for determining and levying appropriate Human Systems Integration requirements on hardware fabricated and/or used on MSFC managed programs and projects. Additionally, the team is responsible for verifying that ..."
151,Manufacturing Combustion Devices and Turbomachinery Hardware,"This project is a FT on-site internship working on the manufacturing research for RDRE engine components- turbomachinery and combustion devices. Intern will conduct trade studies and assist in the development of technology to manufacture combustion devices like nozzle, regeneratively cooled combustion chamber, injectors, and turbomachinery parts like turbines, housings and inducers. Technology wil..."
152,Computer Research & Development,"Methods are needed to help demonstrate and explain key technology capabilities of advanced software systems. Using standard computer displays presents some—but not all—of the functions and impacts of new systems. In order to enhance understanding and transfer knowledge of the operational behaviors and impacts to an expanded user base that will benefit from a hybrid approach, these methods will com..."
153,Structural Dynamics Test Engineer,"MSFC's Structural Dynamics Test Laboratory includes a wide range of test capabilities to characterize the dynamic behavior of spaceflight structures. The Test Branch has extensive experience in the following forms of dynamic testing: vibration, vibro-acoustic, pyrotechnic shock, fluid slosh, and modal testing. The intern will work directly with and train under an engineer to accomplish tasks relat..."
154,Assuring AI/ML within Safety-Critical Applications,"As aerospace systems become increasingly autonomous, a challenge has emerged to ensure machine learning (ML) components act as intended beyond any reasonable doubt. This challenge arises due to the highly complex, data-driven nature of ML components which inherit their behavior from massive data sets rather than human-written lines of code. Assurance activities, therefore, must adapt to these ne..."
155,SCaN - Lunar Surface Propagation (LSP) - SIP,"The Lunar Surface Propagation team’s main goal is to support the modeling of communications for astronauts on the moon. The intern’s activities will support efforts pertaining to emulation, simulation, and scripting work for model development and validation. The work for this task will involve learning how to use and operate the RF channel emulator equipment. Channel models and testing scenarios a..."
156,Ground Safety Intern,"Shadow and perform hazard analysis of systems at WFF with experienced ground safety analysts and engineers, and review several simple hazard systems for final evaluation and approval. After gaining understanding of how hazards are reviewed and planned for, consider how this process can be partially supplemented with Artificial Intelligence (AI). Candidate should be familiar with AI tools, langua..."
157,CFO Business Operations POC,Perform assigned duties under the guidance of staff to support the operational needs of the CFO organization. Provide support to the Mission Support Resources Office: • Serve as the RITM Resources Approval Coordinator: Responsible for working with customer analysts to gather funding information and approvals for requested IT services. Responsible for approval and cost center submittal in the...
158,MBSE Modeler,Develop system architecture models for NASA systems and pilot projects. Contribute to the normalization and formalization of model-based systems engineering (MBSE) at NASA's JSC. The ideal candidate has a working knowledge of SysML and with working with Cameo/MagicDraw. Must be highly self-directed and readily able to understand existing NASA documentation and to extract information from subjec...
159,Digital Engineering Developer,"Contribute to the normalization and formalization of digital engineering, including model-based systems engineering (MBSE), at NASA's JSC. Implement pilot digital engineering systems and digital threads and demonstrate their utility. Develop scripts to interface with APIs, report templates and scripts, and code that can enhance model-based simulation applications. The ideal candidate has an un..."
160,Systems Engineering Intern,"Support systems engineering teams at NASA. Contribute to complex NASA flight projects and programs as a member of a systems engineering team by capturing concepts of operations, performing requirements analysis, defining system architectures, executing trade studies, and managing product verification. The ideal candidate has a working knowledge of systems engineering and with working with asso..."
161,Archives Intern - NASA Johnson Space Center,"Project Description: The NASA Archives preserves and provides access to historically significant materials relating to the NASA Agency’s history and organization. This opportunity is an on-site archival intern who will be responsible for performing processing of analog collections. Skills needed: Understanding of archival theory, principles, and practices. Experience processing analog textual c..."
162,Archives Intern- NASA Goddard Space Flight Center,"Project Description: The NASA Archives preserves and provides access to historically significant materials relating to NASA's history and organization. This opportunity is for an on-site archival intern who will be responsible for performing processing and digitization of analog collections. In addition to processing textual collections, the intern will use a tethered camera workstation and Adobe ..."
163,NASA Archives Metadata Intern,Project Description: The NASA Archives preserves and provides access to historically significant materials relating to the NASA Agency’s history and organization. This opportunity is a hybrid internship in which the intern will work directly with the NASA Archives staff to gain skills and understanding relating to archival processing and preservation. The intern will assist the NASA Archives staff...
164,Orion Service Module Propulsion Support,"The primary goal of NASA's Artemis Program is to return humans to the moon. One element of the Artemis Program is the Orion spacecraft which includes the European Service Module (ESM). The ESM provides propulsive and other capabilities to the crew module between separation from the upper stage and re-entry. After a near flawless Artemis I flight of the propulsion system, the ESM team is preparing ..."
165,Environmental Management Office Intern,"The Intern will be part of the JSC Environmental Management Office, a multidisciplinary team tasked with, among many things, ensuring that the Center operates in full compliance with the applicable Federal, State and Local environmental compliance regulations. The student will support the JSC environmental engineers while they oversee the implementation of multimedia policies and procedures that e..."
166,"Facility, Management, and Operations (FMOD) Intern","The Intern will be working with all Branches of FMOD to: JM2 (Maintenance and Building Operations Branch) – • Analysis of Assets & Preventative Maintenance for Building System (HVAC, Pumps, Conveyance, Building Automation) • Assessing HVAC Issues and Troubleshooting • KPI Development • Facility Engineer Shadowing (Facility Visits) JM3 (Business and Contracts Management Branch) – • Work wi..."
167,HALO Project Office VR Internship,"The HALO Project Office at Johnson Space Center in Houston, TX is seeking an engineering intern to develop a virtual reality system for engineering evaluation of the HALO module and other projects related to the design, development, and testing of NASA’s HALO Module which is part of the Gateway Program."
168,The Future of NASA Records,"The NASA Marshall Space Flight Center (MSFC) Quality Records Center (QRC) is responsible for storing essential procedures, forms, and various other records. While the QRC is moving in the direction of electronic processes, there is still much to be done to reduce the number of physical records. This internship will provide the student with the opportunity to use skills related to automation and AI..."
169,SCaN - Solar System Internet Software Development and Testing - SIP,"Communication in space environments is challenging due to the extreme distances involved, signal propagation delays, and disrupted networks that lack end-to-end connectivity. Delay/Disruption Tolerant Networking (DTN) is a suite of communications protocols and algorithms that was designed by NASA to address these issues and to operate effectively in such environments, achieving reliable automated ..."
170,Planning and Integration Intern,"The Intern will be part of the JSC Center Operations Directorate’s (COD)- JP111/Planning Integration and Environmental Office (PI&E). The PI&E is a multidisciplinary division tasked with, among many things, ensuring that the Center operates affordably and in compliance with NASA Headquarters’ (hereinafter referred to as the Agency) guidance/goal to reduce the footprint (RtF). The RtF is guidance- ..."
171,Avionics Systems Engineering,"Be part of the team developing the avionics systems for the different programs we support. Participate in activities related to the systems engineering development cycle, including design requirements, verification requirements, verification objectives, test planning and execution to ensure the systems getting developed for the program meet the requirements and meet user expectations. Note- thi..."
172,"Avionics Integration, Test and Verification Facilities",Be a part of the team developing the avionics integration and test facility to support the Gateway Program. The Gateway Ready Avionics Integration Laboratory (GRAIL) is getting built to support the integration and test of the Gateway Program between the different modules that make up Gateway and with external programs and visiting vehicles. We want to give you the opportunity to get a closer look...
173,Space Crop Production,"The goal of this research is to help develop optimized space crop production systems for future NASA exploration missions. Research may investigate plant growth responses to ventilation, LED lighting, nutrient recipes, and water delivery methods for application in microgravity or partial gravity. New crops for space will be explored. Research may also address plant/microbial interactions and food ..."
174,Moon Tycoon Lunar Simulation Software Development using Unity,"This in-person full-time internship supports a software development project to create a production quality desktop and Virtual Reality (VR) lunar simulation application called Moon Tycoon. The intern will help design, develop, test, and publish this software which will eventually support several agency wide mission planning projects. The Unity game engine will be utilized by the intern to help c..."
175,Camera System Integrated Video Project,"The Video System group within the Human Interface Branch at the Johnson Space Center is responsible for developing integrated video and imagery systems for use in human spaceflight. With the long-term goal of developing a video/imagery architecture to support human operations for Lunar and Mars missions, the Video Systems group is developing robust, efficient, and integrated processing solutions..."
176,Lidar Design & Development,"Are you a forward-thinking and ambitious individual ready to embark on a groundbreaking journey in the realm of Mechanical Engineering? We are thrilled to offer an extraordinary opportunity to join our team and be at the forefront of innovation. As part of this exciting venture, you will be instrumental in crafting Lidar Systems using state-of-the-art Additive Manufacturing techniques and cutting-..."
177,KM Intern,"This internship will focus on capturing and analyzing data and documents to be used for future missions. The intern will solicit information to write/assist in writing lessons learned and other Knowledge Management (KM) documents, review and analyze documents to determine their value for future use and incorporate them into databases and/or websites. Intern will have the opportunity to assist the ..."
178,Force and Angle Measurement to Support Aeronautics Research,"Force and angle measurement systems provide key information during wind tunnel testing. Our group is responsible for maintaining existing and developing new force and angle measurement technologies to support aeronautics wind tunnel testing for NASA. During this internship, you will serve as an aerodynamic measurement systems engineer focusing on the design, fabrication, instrumentation, and calib..."
179,KSC Energy and Water Conservation and Resiliency,"Support KSC’s Energy and Water Conservation and Resiliency efforts, to include the following activities: • Enhance existing energy and water conservation program processes. • Support the development of a energy savings performance contact to assess and study the feasibility of implementing energy and water conservation measures. • Assist with implementation of Center-specific improvement projec..."
180,Polymer Aerogels for aeronautic and aerospace applications,"This project investigates the use of multiple chemistries to produce polymer aerogels with predictable pore size and porosity for use as host systems, vibration dampening, and energy absorption applications. This entails working in a laboratory to perform synthesis, analysis and characterization of materials. Polyimide aerogels are light weight, highly porous materials made through sol gel-synthes..."
181,Artemis Payload SOP and PR Development,"Assist in the development of a comprehensive template for utilization Standard Operations Procedures (SOPs) and Payload Regulations, specifically tailored to describe the roles of Payload and Mission Operations Division (PMOD) flight controllers and operational constraints relative to operating NASA payloads during Artemis Missions. The intern will work closely with trained flight controllers to u..."
182,Artemis Payload Graphics Development,"This internship focuses on developing visual and graphic representations that illustrate how the PMOD flight control team interfaces with external programs, projects, users, international partners, and other stakeholders. The intern will work alongside the flight control teams to understand the follow of communication, decision-making processes, and coordination efforts between the mission operati..."
183,Integrated Sensing for Sustainable Materials,"Naturally-derived materials have the potential to reshape how the aerospace industry manufactures, operates, and disposes of aircraft. They also have unique challenges that need to be understood to find applications that have the biggest impact on sustainability. This work focuses on developing and implementing novel sensing approaches for monitoring the health and properties of natural composit..."
184,Propulsion Fluid Dynamics for Launch Vehicle and In-Space Applications,"During this internship, the student will be working with an experienced engineer on the computational fluid dynamics (CFD) team in the Fluid Dynamics Branch of the Propulsion Engineering department at MSFC. The intern will gain experience using state-of-the-art CFD tools to analyze propulsion systems and components supporting major programs (for example, Space Launch System, Human Landing System,..."
185,Testing of Novel Cooling Designs For Gas Turbine Engines,"The ingestion of particulates in turbine engines can cause damage to components and a loss in operational efficiency, at times leading to catastrophic outcomes. Particles deposit on film-cooling structures within the engine, hindering the cooling performance and raising component temperatures past what is acceptable. The aim of this work is to investigate factors influencing particle deposition wi..."
186,Modeling Mission Operations As A System,The applicant will: 1.Analyze and process updates to the Mission Operations Directorate Enterprise Architecture Repository (MODEAR) using a custom User Interface 2.Analyze and process updates to the MODEAR using Microsoft Visio diagrams and data update imports/exports 3. Provide assistance to the development of a Network Architecture Model that applies to a wide variety of space flight missions. ...
187,AI/ML for Lessons Learned from UAS Flight Testing,"This student internship project will focus on leveraging AI/ML tools to extract key insights and lessons learned from UAS flight test documents and reports. Getting research to flight safely currently entails a significant amount of preparation from the researchers and UAS operations office to prepare the vehicle and team for a successful flight test. A better understanding of the conditions, anom..."
188,Facilities Management Support,"The Facilities Management Intern will work in NASA's Facilities Engineering and Construction Branch at Wallops Flight Facility. The intern will work alongside Facilities Project Managers on a variety of engineering and construction projects. Depending on interest, the intern will work on projects involving upgrades or repairs to electrical, mechanical, water, wastewater, structural, or architect..."
189,3D Animation Intern,"NASA's Artemis campaign is looking for a 3D animation intern to work with the Artemis communication team. The intern will use existing 3D models to create animations that will be used for infographics, b-roll, and social media posts and help tell the story of NASA's return to the Moon. The intern should be familiar with using the tool Blender. Please upload a portfolio or provide a link to an on..."
190,Illustration/Graphic Design Intern,"NASA's Artemis campaign is looking for an illustration/graphic design intern to work with the Artemis communications team. The intern will create hand drawn digital illustrations to help tell the story of NASA's return to the Moon. Please upload a portfolio or provide a link to an online portfolio with your application. This is in an in-person internship at Johnson Space Center in Houston, TX."
